CntName,Criteria,Type,Coverage,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Armenia,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12030,11901,10433,8482,8451,9303,8053,7461,6121,4100,..,..,..,..
Armenia,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1767,1764,1715,1926,1514,1497,1335,1112,864,861,..,..,..,..
Australia,Residence,Emigrants,Both,90860,85600,92340,100510,96360,93440,92450,97770,104770,120040,137470,143710,143660,140420,141680,149360,158260,176560,179600,185670,206120,216130,222940,224890,212200,206690,204800,216580,220280,..,..,..,..,..
Australia,Residence,Immigrants,Both,184290,212690,195200,153570,153530,172550,196690,221620,253860,238050,234050,237240,220460,197940,221920,253940,261330,260220,268390,289870,317560,356410,361990,388450,350990,363470,402210,460650,535970,..,..,..,..,..
Austria,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17136,18830,19407,19644,18224,21644,30353,23056,21703,20333,19387,17828,18168,16376,16059,14401,15443,15368
Austria,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46725,48264,44865,47279,46248,51010,44478,48940,50018,49800,55045,32070,33395,36868,35592,36796,36369,38703
Austria,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12830,13227,13494,14331,13794,15142,21981,18528,18301,16470,15636,8477,8636,8988,8817,8082,8272,9237
Austria,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50035,49638,59229,72379,67882,74786,86144,93341,104246,97995,82899,64385,65136,60307,62161,74148,83285,92629
Austria,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64272,66923,64472,..,74831,71996,71721,70133,74432,49898,51563,53244,51651,51197,51812,54071
Austria,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69930,70122,72723,86710,81675,89928,108125,111869,122547,114465,98535,72862,73772,69295,70978,82230,91557,101866
Azerbaijan,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16033,13151,15703,10498,9142,9947,7288,4320,3754,2800,2919,2644,3090,2530,1373,..,..,..,..
Azerbaijan,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6222,5781,7528,5404,4806,4361,2574,1257,2500,2407,2019,2232,1970,3597,2292,..,..,..,..
Belarus,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13812,14270,13378,12986,12510,11082,8498,9479,9268,7643,..,..,..,..
Belarus,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25943,23355,18939,18145,14641,13031,14124,14155,17412,19891,..,..,..,..
Belgium,Citizenship,Emigrants,Citizens,13326,20325,21497,21090,20562,20481,21110,22253,16244,16076,15937,18002,13258,13616,14422,16442,16384,18250,31653,33401,35707,37513,38228,40183,40716,42601,42590,45615,..,..,22603,23603,26072,28068
Belgium,Citizenship,Emigrants,Foreigners,36887,36970,37207,36170,32747,30431,29509,31017,28981,24737,24373,31617,24597,29412,32462,31745,30616,32710,40434,40696,39613,37748,37732,39216,43179,44298,45573,45437,100275,..,43410,43872,48648,62732
Belgium,Citizenship,Immigrants,Citizens,7834,7979,8479,9310,9843,9500,9663,9655,10253,10620,12193,13330,11713,10707,10182,9812,9638,9609,10573,10682,11321,11610,12425,13113,12932,12953,12857,36483,..,..,18557,18426,17271,17531
Belgium,Citizenship,Immigrants,Foreigners,39746,33907,29498,28477,29884,28809,29466,31468,31343,35084,39338,41783,43312,48344,51034,45614,47716,45067,73239,80942,78067,98800,101432,98947,104304,119857,124842,109926,164152,..,116724,126272,130116,100725
Belgium,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72087,74097,75320,75261,75960,79399,83895,86899,88163,91052,100275,..,66013,67475,74720,90800
Belgium,Residence,Immigrants,Both,54694,49298,44659,43657,47002,47042,48959,49750,48484,54169,62662,67460,66763,63749,..,..,..,..,83812,91624,89388,110410,113857,112060,117236,132810,137699,146409,..,..,135281,144698,147387,118256
Bulgaria,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2923,2109,19036,..,..,13640,16036
Bulgaria,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,816,1447,1115,..,..,2975,3642
Bulgaria,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1498,1148,..,..,..,4964,4682
Bulgaria,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63,88,..,..,..,9139,13888
Bulgaria,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2958,2112,..,..,..,16615,19678
Bulgaria,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1561,1236,3249,..,..,14103,18570
Canada,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,3,3,4,3,1,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,2
Canada,Citizenship,Immigrants,Foreigners,143137,128641,121175,89185,88272,84346,99351,152075,161585,191550,216448,232799,254783,256635,224381,212863,226070,216036,174195,189950,227455,250636,229049,221349,235822,262242,251640,236753,247244,252170,280687,248747,257902,259019
Croatia,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4451,5554,5245,6670,11120,6114,5871,5509,6967,8084,6623,8637,..,9518,10836,13394
Croatia,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2859,8731,671,818,647,420,941,502,725,918,865,1301,..,3181,2041,1868
Croatia,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31046,..,22256,18368,16355,16857,..,13744,13404,12225,..,..,4720,4208,5085
Croatia,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51784,1864,..,2159,1997,2100,1526,..,1234,1218,2316,..,..,3814,4751,5293
Croatia,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,8859,9169,10163,15413,10027,18531,..,14285,..,..,11767,6534,6812,..,7692,9002,7488,..,..,12699,12877,15262
Croatia,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,10050,48324,57702,33426,42026,44596,52343,..,32910,..,24415,20365,18455,18383,..,14978,14622,..,..,..,8534,8959,10378
Cyprus,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,629,294,229,816,387,..,212,242,1050,3579
Cyprus,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11268,13909,7485,4437,5650,9709,6645,10573,10113,9829,4081,4653,17055,21648
Cyprus,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1157,3619,2154,1994,1760,2540,1010,953,1101,..,1881,2054,1276,1534
Cyprus,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8721,..,11607,13866,12216,14785,20243,21879,14535,18064,12994,11675,18325,20983,16200,11615
Cyprus,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6800,..,..,..,7485,4437,6279,10003,6874,11389,10500,9829,4293,4895,18105,25227
Cyprus,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,9994,..,..,..,..,6149,8622,8523,12764,17485,14370,16779,22003,24419,15545,19017,..,..,20206,23037,17476,13149
Czech Republic,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1013,1102,903,1298,1023,1034,2269,2075,2076,28293,24284,23337,15321,17850,9267
Czech Republic,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,123,161,20566,31091,33203,33784,21796,31388,18424,23185,37498,37732,40589,28256,16627
Czech Republic,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3100,3575,1595,1031,2577,2649,1718,2058,1934,25190,21744,18267,8141,6765,5326
Czech Republic,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6810,4227,11323,43648,57438,50804,58576,66125,102511,83077,53876,30050,18973,27572,24798
Czech Republic,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,7416,264,540,728,804,..,1136,1263,21469,32389,34226,34818,24065,33463,20500,51478,61782,61069,55910,46106,25894
Czech Republic,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10207,10540,10857,12880,..,9910,7802,12918,44679,60015,53453,60294,68183,104445,108267,75620,48317,27114,34337,30124
Denmark,Citizenship,Emigrants,Citizens,17979,18650,17991,16849,16890,17662,18666,19981,23893,25447,23528,22167,22557,22350,23819,23521,24355,24336,24693,25098,26887,26688,25731,25272,25936,26249,26339,23771,15730,14379,14661,15031,14753,13572
Denmark,Citizenship,Emigrants,Foreigners,11845,11077,10014,9122,8305,9171,9375,10066,10455,9273,8645,10185,9081,9814,10891,11198,12809,14033,15647,16242,16530,17292,17750,18194,19081,19620,20447,17795,22626,25520,26795,26562,28910,29738
Denmark,Citizenship,Immigrants,Citizens,14526,14513,15255,15958,15742,16012,16389,16239,16605,19180,21000,21445,21893,22921,23984,24041,22918,22694,22542,22353,22105,22330,22181,22062,21990,22469,22469,22033,19851,19281,18508,18261,18644,18970
Denmark,Citizenship,Immigrants,Foreigners,15282,12982,12606,11433,12900,19219,20052,18217,16756,16996,17739,19744,19539,19623,20469,38238,28914,26953,28830,27883,30810,33654,30597,27692,27870,29989,34281,42623,37506,32519,33728,34572,35765,41342
Denmark,Residence,Emigrants,Both,29913,29719,28328,25999,25053,26715,27928,30123,34544,34949,32383,32629,31915,32344,34710,34630,37312,38393,40340,41340,43417,43980,43481,43466,45017,45869,46786,41566,38356,39899,41456,41593,43663,43310
Denmark,Residence,Immigrants,Both,30311,27874,28223,27718,29035,36214,38932,36296,35051,38391,40715,43567,43377,43400,44961,63187,54445,50105,51372,50236,52915,55984,52778,49754,49860,52458,56750,64656,57357,51800,52236,52833,54409,60312
Estonia,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,800,710,..,..,..,..,2279,3964,4964,3940,3860,3972,4665,5608,5968,6414
